Sat May 21 12:22:04 2022    main.stats

         3611503 function calls (3547257 primitive calls) in 40.564 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.092    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1089(_get_tick_bboxes)
       16    0.000    0.000    0.092    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1091(<listcomp>)
    20670    0.012    0.000    0.092    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1512(convert_units)
      502    0.001    0.000    0.091    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:754(_set_scale)
       27    0.000    0.000    0.089    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cm.py:442(autoscale_None)
       25    0.000    0.000    0.089    0.004 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cm.py:242(_scale_norm)
       31    0.000    0.000    0.088    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\colors.py:1086(autoscale_None)
    10069    0.014    0.000    0.087    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:2367(all)
      500    0.003    0.000    0.086    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\scale.py:106(set_default_locators_and_formatters)
     7398    0.008    0.000    0.085    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
     4004    0.027    0.000    0.084    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\colors.py:197(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.082    0.041 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:2184(colorbar)
        2    0.000    0.000    0.082    0.041 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:2318(colorbar)
      152    0.001    0.000    0.081    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1252(findfont)
      846    0.080    0.000    0.080    0.000 {built-in method nt._getfinalpathname}
2720/2462    0.012    0.000    0.080    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2366(get_affine)
     2027    0.007    0.000    0.080    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:885(update_from_data_xy)
     2192    0.004    0.000    0.079    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:434(set_fill)
    20670    0.021    0.000    0.079    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\units.py:58(_is_natively_supported)
    17031    0.015    0.000    0.078    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:165(convert_xunits)
     2351    0.002    0.000    0.076    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:346(set_facecolor)
      372    0.003    0.000    0.074    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:770(cla)
     1935    0.007    0.000    0.073    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:168(update)
    14192    0.035    0.000    0.071    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1969(translate)
     23/6    0.000    0.000    0.069    0.012 {built-in method builtins.__import__}
    85252    0.049    0.000    0.068    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\__init__.py:686(__getitem__)
     9884    0.012    0.000    0.067    0.000 <__array_function__ internals>:2(dot)
    24417    0.026    0.000    0.067    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:148(invalidate)
     4433    0.006    0.000    0.067    0.000 <__array_function__ internals>:2(any)
      126    0.002    0.000    0.064    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:341(_apply_params)
     7606    0.020    0.000    0.064    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
       23    0.002    0.000    0.062    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\wcsapi.py:24(transform_coord_meta_from_wcs)
    17033    0.012    0.000    0.062    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:177(convert_yunits)
        2    0.000    0.000    0.061    0.030 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\colorbar.py:1538(make_axes_gridspec)
111295/111083    0.044    0.000    0.059    0.000 {built-in method builtins.getattr}
    11275    0.014    0.000    0.056    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:52(_stale_axes_callback)
    27214    0.055    0.000    0.055    0.000 {built-in method numpy.asarray}
    10628    0.019    0.000    0.055    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1832(__init__)
        1    0.000    0.000    0.055    0.055 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\__init__.py:6(<module>)
      875    0.002    0.000    0.054    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:1190(set_fontproperties)
