Wed May 25 18:15:15 2022    qatm_pytorch.stats

         391679 function calls (384663 primitive calls) in 32.997 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      448    0.003    0.000    0.026    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1921(rotate)
       11    0.000    0.000    0.025    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2011(_get_tick)
       11    0.000    0.000    0.025    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:416(__init__)
       22    0.001    0.000    0.025    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:56(__init__)
      204    0.023    0.000    0.023    0.000 {built-in method nt._getfinalpathname}
       16    0.000    0.000    0.023    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:283(draw)
 1388/709    0.006    0.000    0.022    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2366(get_affine)
  974/487    0.002    0.000    0.022    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2374(inverted)
        3    0.000    0.000    0.022    0.007 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\functional.py:2975(interpolate)
        3    0.022    0.007    0.022    0.007 {built-in method torch._C._nn.upsample_bilinear2d}
      453    0.002    0.000    0.021    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:815(from_extents)
     3733    0.018    0.000    0.020    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:185(set_children)
     1752    0.003    0.000    0.020    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2433(composite_transform_factory)
        1    0.020    0.020    0.020    0.020 {method 'argsort' of 'numpy.ndarray' objects}
       35    0.019    0.001    0.019    0.001 {method 'clone' of 'torch._C._TensorBase' objects}
       32    0.001    0.000    0.018    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\parameter.py:28(__deepcopy__)
       51    0.006    0.000    0.018    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1411(get_font)
     4348    0.006    0.000    0.018    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1832(__init__)
       39    0.001    0.000    0.018    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:667(draw)
      488    0.001    0.000    0.018    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
     1418    0.007    0.000    0.018    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1131(score_family)
      575    0.000    0.000    0.017    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\inspect.py:3032(bind)
        2    0.000    0.000    0.017    0.009 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:899(set_clip_path)
      575    0.013    0.000    0.017    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\inspect.py:2901(_bind)
      464    0.003    0.000    0.016    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
      923    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1892    0.004    0.000    0.016    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2276(__init__)
        2    0.015    0.008    0.015    0.008 {built-in method mean}
        2    0.015    0.008    0.015    0.008 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:201(_rgb_to_rgba)
     2397    0.015    0.000    0.015    0.000 {built-in method numpy.array}
    26080    0.009    0.000    0.015    0.000 {built-in method builtins.isinstance}
       17    0.000    0.000    0.015    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:188(draw_text)
      972    0.006    0.000    0.015    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\ma\core.py:3213(__getitem__)
        8    0.000    0.000    0.014    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:815(set_tick_params)
        3    0.001    0.000    0.014    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torchvision\transforms\transforms.py:65(__call__)
        2    0.001    0.000    0.014    0.007 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5agg.py:23(paintEvent)
        8    0.011    0.001    0.014    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:705(_icon)
       15    0.000    0.000    0.013    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:723(set_clip_path)
       66    0.002    0.000    0.013    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\lines.py:269(__init__)
      415    0.005    0.000    0.012    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:290(mouseEventCoords)
      453    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(reshape)
      413    0.003    0.000    0.012    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:765(set_message)
        1    0.012    0.012    0.012    0.012 {built-in method sizeHint}
      162    0.001    0.000    0.012    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:1001(format_cursor_data)
        2    0.012    0.006    0.012    0.006 {resize}
      6/4    0.000    0.000    0.012    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:607(__get__)
        2    0.000    0.000    0.011    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2851(grid)
